,ccg,month,111_111_offered,111_111_answered,amb_sys_made,amb_sys_answered,gp_appt_attended,gp_appt_available,ae_attendances_attendances,population,People,Places,Lives,year
1171,02X,Aug,281.0082730416404,253.09379240481,205.0495620227791,136.88194608330485,3953.672356195009,4390.364208820317,505.5235081403282,31.2211,90.2,97.5,95.1,2019
1172,02X,Sep,263.93691727583683,240.8687006384562,202.1169235598336,136.17655493309317,4494.748743638116,5019.425965132555,490.1813196844442,31.2211,90.2,97.5,95.1,2019
1173,02X,Oct,286.45484845263485,254.68003193323207,217.85046400024007,145.96403745699135,5097.898536566617,5719.337243082403,490.1492900634507,31.2211,90.2,97.5,95.1,2019
1174,02X,Nov,326.9842063903984,276.37461933377944,222.8242649939617,136.93099168475104,4489.143559964255,5024.262437902572,494.9537332124749,31.2211,90.2,97.5,95.1,2019
1175,02X,Dec,365.41455880237874,334.34635884031513,237.73268531592004,139.02408485235256,4073.815464541608,4542.825204749352,520.6094596282642,31.2211,90.2,97.5,95.1,2019
1176,03F,Jan,344.78927610364553,301.60645835026924,194.23500690388963,137.47193581834895,4058.936417159208,4738.815832315053,747.9094924174809,26.1061,88.6,94.8,91.9,2019
1177,03F,Feb,301.57310771629454,263.4283201077226,175.62220115505275,124.79653287988272,3699.824945127767,4234.221120734234,697.3849023791374,26.1061,88.6,94.8,91.9,2019
1178,03F,Mar,320.6413326913337,290.592411480122,187.7407922653356,133.4199036282782,4042.005508291165,4606.662810607482,757.3325774435859,26.1061,88.6,94.8,91.9,2019
1179,03F,Apr,296.83940210650945,274.77170448837006,199.6401206868,132.9063673307826,3658.1871669839616,4179.904313551238,753.2339185094671,26.1061,88.6,94.8,91.9,2019
1180,03F,May,295.405324845597,272.45591984175127,204.2965677888108,134.6402735936751,3770.268251481454,4275.016183957006,796.32729515324,26.1061,88.6,94.8,91.9,2019
1181,03F,Jun,274.48822409958507,250.6612805392798,200.0339280160593,131.58934868018287,3637.425735747584,4119.72680714469,779.5113019562477,26.1061,88.6,94.8,91.9,2019
